OBSID,PNT_NO,FILTER,DATATYPE,EXT_NO,DATE-OBS,DATE-END,MIDTIME,EXPOSURE,WHEELPOS,RA_PNT,DEC_PNT,PA_PNT,ASPCORR,MOD8CORR,FLATCORR,CLOCKAPP,x_pixel,y_pixel,RA,DEC,delta,r,elong
05000056003,2,UVW1,image,1,2021-10-03T07:04:34,2021-10-03T07:05:55,2021-10-03T07:05:14.500,79.9541543079394,1200,74.4390737529705,31.9333287474764,78.9970362440142,DIRECT,False,False,False,671.7694384013955,621.1500598388767,74.43981,31.93365,5.45502040478563,5.918373872677,113.0084
05000057001,1,V,image,1,2021-10-03T11:27:53,2021-10-03T11:28:03,2021-10-03T11:27:58.000,10.587438984356,600,74.4246194747671,31.9450888979538,79.0000173126322,DIRECT,False,False,False,633.745511971856,598.7550600510383,74.43983,31.93693,5.45247184393749,5.918425924096,113.1817
05000057001,1,V,image,2,2021-10-03T11:28:06,2021-10-03T11:30:01,2021-10-03T11:29:03.500,112.954373838021,600,74.4246194747671,31.9450888979538,79.0000173126322,DIRECT,False,False,False,627.4761459178429,593.5414350915065,74.43981,31.93696,5.4524583065164,5.918426140394,113.1825
05000057001,1,V,image,3,2021-10-03T11:30:03,2021-10-03T11:30:55,2021-10-03T11:30:29.000,51.1997564630964,600,74.4246194747671,31.9450888979538,79.0000173126322,DIRECT,False,False,False,628.4604378911224,590.8971365587223,74.43978,31.93699,5.45244080765314,5.918426422737,113.1837
05000057002,1,UVW1,image,1,2021-10-03T11:31:19,2021-10-03T11:35:56,2021-10-03T11:33:37.500,271.820207598846,1200,74.4423950802953,31.9347569190181,79.0105642747518,DIRECT,False,False,False,679.7005480794489,628.2542528134862,74.4397,31.93706,5.45240305955276,5.918427045212,113.1862
05000057003,1,V grism,image,1,2021-10-03T11:36:21,2021-10-03T11:52:23,2021-10-03T11:44:22.000,946.592782156842,955,74.437366632448,31.9387914827793,78.9878763414101,NONE,False,False,False,542.8434764937036,1529.9119923358476,74.43932,31.9373,5.45228574490742,5.918429173501,113.1951
05000057003,2,UVW1,image,1,2021-10-03T11:52:30,2021-10-03T11:53:55,2021-10-03T11:53:12.500,84.5366015662609,1200,74.437366632448,31.9387914827793,78.9878763414101,DIRECT,False,False,False,669.5897138884267,615.6808315894953,74.43898,31.93745,5.45220531728206,5.918430925315,113.2024
05000058001,1,V,image,1,2021-10-04T22:30:44,2021-10-04T22:31:45,2021-10-04T22:31:14.500,59.7999996662192,600,74.3180415703779,31.9973383069206,78.9100546837808,DIRECT,False,False,False,338.6797788767251,502.281583525006,74.43008,31.96418,5.43202573455921,5.918842813021,114.6015
05000058001,1,V,image,2,2021-10-04T22:31:48,2021-10-04T22:31:56,2021-10-04T22:31:52.000,7.53609589983331,600,74.3180415703779,31.9973383069206,78.9100546837808,DIRECT,False,False,False,330.2133906417015,497.3298841964007,74.43007,31.96419,5.43201812055065,5.918842936954,114.602
05000058002,1,UVW1,image,1,2021-10-04T22:32:19,2021-10-04T22:36:55,2021-10-04T22:34:37.000,272.39568580882,1200,74.4402207504642,31.962705456415,79.0179573521333,DIRECT,False,False,False,703.5924517275989,625.0772067135435,74.43,31.96426,5.43198512188238,5.918843482255,114.6042
